ERROR:2026-02-19 10:16:06,270:jax._src.xla_bridge:444: Jax plugin configuration error: Exception when calling jax_plugins.xla_cuda12.initialize()
Traceback (most recent call last):
  File "/home/ntaddei/miniconda3/envs/lhf/lib/python3.10/site-packages/jax_plugins/xla_cuda12/__init__.py", line 197, in _version_check
    version = get_version()
RuntimeError: jaxlib/cuda/versions_helpers.cc:81: operation cusparseGetProperty(MAJOR_VERSION, &major) failed: The cuSPARSE library was not found.

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/ntaddei/miniconda3/envs/lhf/lib/python3.10/site-packages/jax/_src/xla_bridge.py", line 442, in discover_pjrt_plugins
    plugin_module.initialize()
  File "/home/ntaddei/miniconda3/envs/lhf/lib/python3.10/site-packages/jax_plugins/xla_cuda12/__init__.py", line 324, in initialize
    _check_cuda_versions(raise_on_first_error=True)
  File "/home/ntaddei/miniconda3/envs/lhf/lib/python3.10/site-packages/jax_plugins/xla_cuda12/__init__.py", line 262, in _check_cuda_versions
    _version_check("cuSPARSE", cuda_versions.cusparse_get_version,
  File "/home/ntaddei/miniconda3/envs/lhf/lib/python3.10/site-packages/jax_plugins/xla_cuda12/__init__.py", line 201, in _version_check
    raise RuntimeError(err_msg) from e
[461/4000] -ELBO = 2.7485299110412598
[462/4000] -ELBO = 2.7482597827911377
[463/4000] -ELBO = 2.7478878498077393
[464/4000] -ELBO = 2.74747633934021
[465/4000] -ELBO = 2.7471368312835693
[466/4000] -ELBO = 2.7467575073242188
[467/4000] -ELBO = 2.7464396953582764
[468/4000] -ELBO = 2.746093988418579
[469/4000] -ELBO = 2.745774030685425
[470/4000] -ELBO = 2.7453863620758057
[471/4000] -ELBO = 2.745004892349243
[472/4000] -ELBO = 2.7446751594543457
[473/4000] -ELBO = 2.7443654537200928
[474/4000] -ELBO = 2.7440364360809326
[475/4000] -ELBO = 2.743638515472412
[476/4000] -ELBO = 2.743271827697754
[477/4000] -ELBO = 2.742918014526367
[478/4000] -ELBO = 2.742624044418335
[479/4000] -ELBO = 2.742248296737671
[480/4000] -ELBO = 2.7418906688690186
[481/4000] -ELBO = 2.7415125370025635
[482/4000] -ELBO = 2.7412049770355225
[483/4000] -ELBO = 2.7407853603363037
[484/4000] -ELBO = 2.7404284477233887
[485/4000] -ELBO = 2.740083932876587
[486/4000] -ELBO = 2.739776611328125
[487/4000] -ELBO = 2.739431619644165
[488/4000] -ELBO = 2.739086151123047
[489/4000] -ELBO = 2.738734245300293
[490/4000] -ELBO = 2.7383275032043457
[491/4000] -ELBO = 2.7380447387695312
[492/4000] -ELBO = 2.7376883029937744
[493/4000] -ELBO = 2.7373321056365967
[494/4000] -ELBO = 2.736983060836792
[495/4000] -ELBO = 2.736602306365967
[496/4000] -ELBO = 2.736220598220825
[497/4000] -ELBO = 2.7358791828155518
[498/4000] -ELBO = 2.7355127334594727
[499/4000] -ELBO = 2.7351856231689453
[500/4000] -ELBO = 2.7348461151123047
[501/4000] -ELBO = 2.7346138954162598
[502/4000] -ELBO = 2.734196901321411
[503/4000] -ELBO = 2.7337918281555176
[504/4000] -ELBO = 2.7334325313568115
[505/4000] -ELBO = 2.7330636978149414
[506/4000] -ELBO = 2.732754707336426
[507/4000] -ELBO = 2.7323803901672363
[508/4000] -ELBO = 2.7320315837860107
[509/4000] -ELBO = 2.7316904067993164
[510/4000] -ELBO = 2.7313265800476074
[511/4000] -ELBO = 2.7309603691101074
[512/4000] -ELBO = 2.730616331100464
[513/4000] -ELBO = 2.730245351791382
[514/4000] -ELBO = 2.7299044132232666
[515/4000] -ELBO = 2.7295546531677246
[516/4000] -ELBO = 2.7291998863220215
[517/4000] -ELBO = 2.728839635848999
[518/4000] -ELBO = 2.7285032272338867
[519/4000] -ELBO = 2.7281501293182373
[520/4000] -ELBO = 2.7277965545654297
[521/4000] -ELBO = 2.727428674697876
[522/4000] -ELBO = 2.727086067199707
[523/4000] -ELBO = 2.7267940044403076
[524/4000] -ELBO = 2.7263901233673096
[525/4000] -ELBO = 2.7260241508483887
[526/4000] -ELBO = 2.725674629211426
[527/4000] -ELBO = 2.725322723388672
[528/4000] -ELBO = 2.724985361099243
[529/4000] -ELBO = 2.724604606628418
[530/4000] -ELBO = 2.7242605686187744
[531/4000] -ELBO = 2.723907232284546
[532/4000] -ELBO = 2.723557472229004
[533/4000] -ELBO = 2.7232019901275635
[534/4000] -ELBO = 2.7228128910064697
[535/4000] -ELBO = 2.722522497177124
[536/4000] -ELBO = 2.7221596240997314
[537/4000] -ELBO = 2.72188663482666
[538/4000] -ELBO = 2.721477508544922
[539/4000] -ELBO = 2.7211172580718994
[540/4000] -ELBO = 2.7207183837890625
[541/4000] -ELBO = 2.7203729152679443
[542/4000] -ELBO = 2.7200307846069336
[543/4000] -ELBO = 2.719698667526245
[544/4000] -ELBO = 2.719285011291504
[545/4000] -ELBO = 2.71903133392334
[546/4000] -ELBO = 2.7186431884765625
[547/4000] -ELBO = 2.718362331390381
[548/4000] -ELBO = 2.7178256511688232
[549/4000] -ELBO = 2.7176244258880615
[550/4000] -ELBO = 2.717211961746216
[551/4000] -ELBO = 2.7169089317321777
[552/4000] -ELBO = 2.716503858566284
[553/4000] -ELBO = 2.7161507606506348
[554/4000] -ELBO = 2.7158267498016357
[555/4000] -ELBO = 2.7154293060302734
[556/4000] -ELBO = 2.7151553630828857
[557/4000] -ELBO = 2.714726448059082
[558/4000] -ELBO = 2.714428424835205
[559/4000] -ELBO = 2.714036703109741
[560/4000] -ELBO = 2.7137248516082764
[561/4000] -ELBO = 2.71337628364563
[562/4000] -ELBO = 2.712982416152954
[563/4000] -ELBO = 2.7126121520996094
[564/4000] -ELBO = 2.712329387664795
[565/4000] -ELBO = 2.7119545936584473
[566/4000] -ELBO = 2.711639642715454
[567/4000] -ELBO = 2.711210012435913
[568/4000] -ELBO = 2.710789680480957
[569/4000] -ELBO = 2.710641860961914
[570/4000] -ELBO = 2.710200786590576
[571/4000] -ELBO = 2.7097585201263428
[572/4000] -ELBO = 2.7095773220062256
[573/4000] -ELBO = 2.7090535163879395
[574/4000] -ELBO = 2.7088418006896973
[575/4000] -ELBO = 2.7084522247314453
[576/4000] -ELBO = 2.708085775375366
[577/4000] -ELBO = 2.7077271938323975
[578/4000] -ELBO = 2.707373857498169
[579/4000] -ELBO = 2.707050085067749
[580/4000] -ELBO = 2.7066969871520996
[581/4000] -ELBO = 2.706286907196045
[582/4000] -ELBO = 2.705960750579834
[583/4000] -ELBO = 2.705669403076172
[584/4000] -ELBO = 2.705308437347412
[585/4000] -ELBO = 2.704876184463501
[586/4000] -ELBO = 2.704559326171875
